target	Et	a1	a2	a3	a4	a5	a6	a7	a8
Li	6.67E-02	1.68E+00	8.30E-01	Infinity	0.00E+00	8.40E+00	3.97E+00	0.00E+00	1.00E+00
Na	3.81E-02	8.20E+01	1.45E+00	Infinity	0.00E+00	4.47E+00	1.94E+00	0.00E+00	1.00E+00
Mg	8.32E-03	9.60E+00	1.11E+00	Infinity	0.00E+00	1.26E+00	4.09E+00	1.79E+00	8.30E+00
K	2.18E-02	2.81E+00	6.30E-01	Infinity	0.00E+00	3.30E+00	1.76E+00	0.00E+00	1.00E+00
Ca	3.63E-03	1.63E+00	1.00E+00	Infinity	0.00E+00	2.22E+00	3.11E+00	8.45E-01	4.72E+00
Sr	2.73E-03	2.97E+00	1.00E+00	1.00E+00	2.30E-01	4.57E+00	4.00E+00	1.69E-01	1.08E+01
Cs	1.46E-02	3.14E+01	1.00E+00	8.00E-01	9.60E-01	2.94E+00	3.20E+00	0.00E+00	1.00E+00
Ba	1.46E-03	1.27E+00	1.00E+00	3.20E+00	7.80E-01	5.80E+00	4.10E+00	1.95E-01	7.60E+00
Pb	8.10E-03	3.15E+01	1.00E+00	Infinity	0.00E+00	2.44E+00	4.58E+00	2.00E-01	8.00E+00
